wx,wy,yoff,wgw,ovlp
7.60E-07,3.37E-07,3.30E-07,1.62E-06,99.24794611
7.95E-07,3.33E-07,3.31E-07,1.73E-06,99.22294629
8.21E-07,3.36E-07,3.32E-07,1.83E-06,99.18942945
8.70E-07,3.36E-07,3.34E-07,1.93E-06,99.18680981
9.08E-07,3.34E-07,3.33E-07,2.04E-06,99.16702826
9.38E-07,3.33E-07,3.37E-07,2.14E-06,99.15040896
9.72E-07,3.32E-07,3.37E-07,2.24E-06,99.1323713
1.01E-06,3.33E-07,3.35E-07,2.35E-06,99.1177146
1.04E-06,3.36E-07,3.38E-07,2.45E-06,99.09951776
1.12E-06,3.33E-07,3.36E-07,2.66E-06,99.07286211
1.16E-06,3.31E-07,3.38E-07,2.76E-06,99.05420814
1.19E-06,3.34E-07,3.36E-07,2.87E-06,99.04572832
1.26E-06,3.35E-07,3.39E-07,3.07E-06,99.01948343
1.30E-06,3.31E-07,3.38E-07,3.18E-06,99.00127901
1.34E-06,3.35E-07,3.36E-07,3.28E-06,98.99224019
1.38E-06,3.37E-07,3.37E-07,3.39E-06,98.97917169
1.41E-06,3.37E-07,3.36E-07,3.49E-06,98.96701727
1.44E-06,3.38E-07,3.37E-07,3.59E-06,98.95318688
1.49E-06,3.36E-07,3.38E-07,3.70E-06,98.94426794
1.55E-06,3.35E-07,3.38E-07,3.80E-06,98.90716824
1.57E-06,3.32E-07,3.41E-07,4.01E-06,98.90861825
1.62E-06,3.33E-07,3.37E-07,4.11E-06,98.91010133
1.65E-06,3.33E-07,3.37E-07,4.21E-06,98.90338877
1.68E-06,3.37E-07,3.39E-07,4.32E-06,98.89448016
1.74E-06,3.34E-07,3.38E-07,4.42E-06,98.88960737
1.76E-06,3.34E-07,3.40E-07,4.53E-06,98.88300182
1.80E-06,3.36E-07,3.40E-07,4.63E-06,98.87738697
1.83E-06,3.37E-07,3.38E-07,4.73E-06,98.87048647
1.88E-06,3.36E-07,3.40E-07,4.84E-06,98.86108258
1.92E-06,3.32E-07,3.40E-07,4.94E-06,98.85304272
1.94E-06,3.34E-07,3.40E-07,5.04E-06,98.85258458
1.99E-06,3.36E-07,3.38E-07,5.15E-06,98.8464371
2.03E-06,3.36E-07,3.39E-07,5.25E-06,98.841205
2.05E-06,3.35E-07,3.38E-07,5.36E-06,98.83904011
2.11E-06,3.36E-07,3.40E-07,5.46E-06,98.83021118
2.13E-06,3.35E-07,3.40E-07,5.56E-06,98.82922195
2.15E-06,3.36E-07,3.38E-07,5.67E-06,98.82035903
2.21E-06,3.34E-07,3.38E-07,5.77E-06,98.82043432
2.25E-06,3.37E-07,3.39E-07,5.87E-06,98.81531533
2.28E-06,3.36E-07,3.39E-07,5.98E-06,98.81153864
2.34E-06,3.35E-07,3.37E-07,6.08E-06,98.80303813
2.35E-06,3.33E-07,3.39E-07,6.29E-06,98.79250969
2.40E-06,3.33E-07,3.38E-07,6.39E-06,98.79528776
2.43E-06,3.34E-07,3.38E-07,6.50E-06,98.79123218
2.51E-06,3.36E-07,3.38E-07,6.60E-06,98.7849503
2.52E-06,3.32E-07,3.39E-07,6.70E-06,98.78628024
2.56E-06,3.37E-07,3.39E-07,6.81E-06,98.78391353
2.58E-06,3.37E-07,3.40E-07,6.91E-06,98.77624427
2.64E-06,3.35E-07,3.38E-07,7.01E-06,98.77974262
2.70E-06,3.33E-07,3.42E-07,7.12E-06,98.76169054
2.69E-06,3.36E-07,3.40E-07,7.22E-06,98.77221576
2.79E-06,3.34E-07,3.38E-07,7.33E-06,98.75968896
2.76E-06,3.34E-07,3.38E-07,7.43E-06,98.76949487
2.81E-06,3.33E-07,3.37E-07,7.53E-06,98.76500581
2.85E-06,3.34E-07,3.38E-07,7.64E-06,98.76652358
2.86E-06,3.36E-07,3.36E-07,7.74E-06,98.75206244
2.91E-06,3.37E-07,3.37E-07,7.84E-06,98.75741059
2.96E-06,3.34E-07,3.40E-07,7.95E-06,98.75960435
3.02E-06,3.33E-07,3.39E-07,8.05E-06,98.75650828
3.02E-06,3.36E-07,3.38E-07,8.16E-06,98.75404199
3.06E-06,3.35E-07,3.38E-07,8.26E-06,98.75395584
3.14E-06,3.35E-07,3.38E-07,8.36E-06,98.75132729
3.15E-06,3.34E-07,3.41E-07,8.57E-06,98.74161438
3.23E-06,3.33E-07,3.38E-07,8.67E-06,98.74295685
3.26E-06,3.36E-07,3.38E-07,8.78E-06,98.74309136
3.27E-06,3.36E-07,3.42E-07,8.88E-06,98.73410652
3.34E-06,3.35E-07,3.38E-07,8.99E-06,98.74011621
3.39E-06,3.30E-07,3.36E-07,9.09E-06,98.72134447
3.38E-06,3.34E-07,3.40E-07,9.19E-06,98.73749743
3.43E-06,3.33E-07,3.38E-07,9.30E-06,98.73733243
3.51E-06,3.36E-07,3.39E-07,9.40E-06,98.73046519
3.50E-06,3.36E-07,3.41E-07,9.50E-06,98.7319135
3.54E-06,3.37E-07,3.38E-07,9.61E-06,98.73351829
3.58E-06,3.34E-07,3.40E-07,9.71E-06,98.73410027
3.60E-06,3.37E-07,3.41E-07,9.81E-06,98.72651612
3.67E-06,3.35E-07,3.37E-07,9.92E-06,98.72974999
3.69E-06,3.36E-07,3.37E-07,1.00E-05,98.72780044
3.74E-06,3.33E-07,3.40E-07,1.01E-05,98.72754467
3.76E-06,3.30E-07,3.41E-07,1.02E-05,98.71357125
3.80E-06,3.35E-07,3.37E-07,1.03E-05,98.72635525
3.84E-06,3.38E-07,3.40E-07,1.04E-05,98.72208867
3.87E-06,3.36E-07,3.39E-07,1.05E-05,98.72492275
3.92E-06,3.33E-07,3.38E-07,1.06E-05,98.7235672
3.93E-06,3.37E-07,3.41E-07,1.09E-05,98.70996671
4.02E-06,3.32E-07,3.40E-07,1.10E-05,98.71792436
4.07E-06,3.33E-07,3.37E-07,1.11E-05,98.71599067
4.13E-06,3.33E-07,3.41E-07,1.12E-05,98.70677648
4.10E-06,3.37E-07,3.37E-07,1.13E-05,98.71467408
4.12E-06,3.37E-07,3.39E-07,1.14E-05,98.71225314
4.17E-06,3.34E-07,3.39E-07,1.15E-05,98.71622486
4.22E-06,3.37E-07,3.41E-07,1.16E-05,98.71313141
4.26E-06,3.36E-07,3.40E-07,1.17E-05,98.71472669
4.33E-06,3.34E-07,3.38E-07,1.18E-05,98.7149049
4.32E-06,3.35E-07,3.40E-07,1.19E-05,98.71324979
4.35E-06,3.36E-07,3.39E-07,1.20E-05,98.71129978
4.43E-06,3.34E-07,3.38E-07,1.21E-05,98.71322669
4.48E-06,3.31E-07,3.39E-07,1.22E-05,98.70682353
4.51E-06,3.35E-07,3.41E-07,1.23E-05,98.70872812
4.51E-06,3.32E-07,3.36E-07,1.24E-05,98.70447776
4.54E-06,3.35E-07,3.37E-07,1.25E-05,98.70861951
4.64E-06,3.33E-07,3.37E-07,1.26E-05,98.70579296
4.66E-06,3.32E-07,3.38E-07,1.27E-05,98.70684581
4.65E-06,3.35E-07,3.39E-07,1.28E-05,98.71000512
4.75E-06,3.36E-07,3.38E-07,1.29E-05,98.70857633
4.81E-06,3.34E-07,3.38E-07,1.31E-05,98.70434279
4.80E-06,3.36E-07,3.36E-07,1.32E-05,98.70077658
4.84E-06,3.35E-07,3.38E-07,1.33E-05,98.70986978
4.89E-06,3.37E-07,3.37E-07,1.34E-05,98.70694859
4.89E-06,3.35E-07,3.39E-07,1.35E-05,98.70871037
4.93E-06,3.33E-07,3.41E-07,1.37E-05,98.70329166
5.03E-06,3.35E-07,3.40E-07,1.38E-05,98.7099369
5.01E-06,3.33E-07,3.40E-07,1.39E-05,98.70767623
5.05E-06,3.32E-07,3.38E-07,1.40E-05,98.70692977
5.07E-06,3.35E-07,3.39E-07,1.41E-05,98.70957878
5.18E-06,3.33E-07,3.38E-07,1.42E-05,98.71191669
5.17E-06,3.36E-07,3.39E-07,1.43E-05,98.71332074
5.22E-06,3.37E-07,3.41E-07,1.44E-05,98.71027279
5.25E-06,3.34E-07,3.41E-07,1.45E-05,98.71399892
5.31E-06,3.32E-07,3.38E-07,1.46E-05,98.71341229
5.29E-06,3.38E-07,3.39E-07,1.47E-05,98.71011835
5.41E-06,3.34E-07,3.38E-07,1.48E-05,98.71921026
5.41E-06,3.35E-07,3.41E-07,1.49E-05,98.7190021
5.43E-06,3.34E-07,3.40E-07,1.50E-05,98.72272625
