WG_width,Wx,Wy,y_off,Overlap
1.60E-06,1.49E-06,6.66E-07,3.30E-07,9.93E+01
1.70E-06,1.56E-06,6.71E-07,3.35E-07,9.92E+01
1.80E-06,1.66E-06,6.69E-07,3.33E-07,9.92E+01
1.90E-06,1.73E-06,6.70E-07,3.33E-07,9.92E+01
2.00E-06,1.79E-06,6.73E-07,3.33E-07,9.92E+01
2.10E-06,1.86E-06,6.65E-07,3.36E-07,9.92E+01
2.20E-06,1.90E-06,6.72E-07,3.36E-07,9.91E+01
2.30E-06,2.00E-06,6.71E-07,3.34E-07,9.91E+01
2.40E-06,2.07E-06,6.60E-07,3.37E-07,9.91E+01
2.60E-06,2.21E-06,6.66E-07,3.34E-07,9.91E+01
2.70E-06,2.27E-06,6.65E-07,3.37E-07,9.91E+01
2.80E-06,2.34E-06,6.70E-07,3.35E-07,9.91E+01
2.90E-06,2.39E-06,6.67E-07,3.36E-07,9.90E+01
3.20E-06,2.60E-06,6.63E-07,3.37E-07,9.90E+01
3.30E-06,2.69E-06,6.67E-07,3.36E-07,9.90E+01
3.40E-06,2.77E-06,6.67E-07,3.36E-07,9.90E+01
3.50E-06,2.80E-06,6.71E-07,3.37E-07,9.90E+01
3.60E-06,2.92E-06,6.67E-07,3.38E-07,9.90E+01
3.70E-06,2.96E-06,6.65E-07,3.38E-07,9.89E+01
3.80E-06,3.11E-06,6.70E-07,3.38E-07,9.89E+01
4.00E-06,3.15E-06,6.73E-07,3.38E-07,9.89E+01
4.10E-06,3.24E-06,6.66E-07,3.37E-07,9.89E+01
4.20E-06,3.29E-06,6.66E-07,3.37E-07,9.89E+01
4.30E-06,3.34E-06,6.72E-07,3.39E-07,9.89E+01
4.40E-06,3.42E-06,6.74E-07,3.40E-07,9.89E+01
4.50E-06,3.52E-06,6.63E-07,3.40E-07,9.89E+01
4.60E-06,3.59E-06,6.72E-07,3.38E-07,9.89E+01
4.70E-06,3.64E-06,6.67E-07,3.38E-07,9.89E+01
4.80E-06,3.72E-06,6.74E-07,3.38E-07,9.89E+01
4.90E-06,3.76E-06,6.70E-07,3.38E-07,9.89E+01
5.00E-06,3.86E-06,6.64E-07,3.38E-07,9.89E+01
5.10E-06,3.92E-06,6.68E-07,3.39E-07,9.89E+01
5.20E-06,4.03E-06,6.68E-07,3.38E-07,9.88E+01
5.30E-06,4.08E-06,6.67E-07,3.40E-07,9.88E+01
5.40E-06,4.15E-06,6.74E-07,3.40E-07,9.88E+01
5.50E-06,4.24E-06,6.67E-07,3.39E-07,9.88E+01
5.60E-06,4.28E-06,6.67E-07,3.40E-07,9.88E+01
5.70E-06,4.37E-06,6.71E-07,3.40E-07,9.88E+01
5.80E-06,4.44E-06,6.71E-07,3.37E-07,9.88E+01
5.90E-06,4.47E-06,6.75E-07,3.38E-07,9.88E+01
6.00E-06,4.61E-06,6.77E-07,3.35E-07,9.88E+01
6.10E-06,4.67E-06,6.72E-07,3.42E-07,9.88E+01
6.30E-06,4.70E-06,6.66E-07,3.36E-07,9.88E+01
6.40E-06,4.79E-06,6.70E-07,3.40E-07,9.88E+01
6.50E-06,4.86E-06,6.67E-07,3.38E-07,9.88E+01
6.60E-06,5.02E-06,6.71E-07,3.38E-07,9.88E+01
6.70E-06,5.03E-06,6.65E-07,3.39E-07,9.88E+01
6.80E-06,5.14E-06,6.68E-07,3.40E-07,9.88E+01
6.90E-06,5.19E-06,6.65E-07,3.39E-07,9.88E+01
7.00E-06,5.33E-06,6.76E-07,3.38E-07,9.88E+01
7.10E-06,5.32E-06,6.72E-07,3.41E-07,9.88E+01
7.20E-06,5.43E-06,6.72E-07,3.39E-07,9.88E+01
7.30E-06,5.49E-06,6.72E-07,3.38E-07,9.88E+01
7.40E-06,5.58E-06,6.65E-07,3.41E-07,9.88E+01
7.50E-06,5.57E-06,6.67E-07,3.37E-07,9.88E+01
7.60E-06,5.67E-06,6.67E-07,3.36E-07,9.88E+01
7.70E-06,5.70E-06,6.68E-07,3.38E-07,9.88E+01
7.80E-06,5.83E-06,6.68E-07,3.38E-07,9.88E+01
7.90E-06,5.90E-06,6.68E-07,3.38E-07,9.88E+01
8.00E-06,5.94E-06,6.75E-07,3.35E-07,9.87E+01
8.10E-06,6.07E-06,6.67E-07,3.38E-07,9.88E+01
8.20E-06,6.09E-06,6.68E-07,3.40E-07,9.88E+01
8.30E-06,6.17E-06,6.71E-07,3.39E-07,9.88E+01
8.40E-06,6.19E-06,6.73E-07,3.38E-07,9.87E+01
8.50E-06,6.14E-06,6.68E-07,3.37E-07,9.87E+01
8.60E-06,6.31E-06,6.65E-07,3.40E-07,9.87E+01
8.70E-06,6.41E-06,6.68E-07,3.40E-07,9.87E+01
8.80E-06,6.51E-06,6.72E-07,3.38E-07,9.87E+01
8.90E-06,6.54E-06,6.72E-07,3.42E-07,9.87E+01
9.00E-06,6.62E-06,6.72E-07,3.39E-07,9.87E+01
9.10E-06,6.65E-06,6.72E-07,3.36E-07,9.87E+01
9.20E-06,6.80E-06,6.71E-07,3.41E-07,9.87E+01
9.30E-06,6.86E-06,6.65E-07,3.38E-07,9.87E+01
9.40E-06,7.01E-06,6.72E-07,3.39E-07,9.87E+01
9.50E-06,7.01E-06,6.71E-07,3.41E-07,9.87E+01
9.60E-06,7.08E-06,6.67E-07,3.40E-07,9.87E+01
9.70E-06,7.15E-06,6.67E-07,3.38E-07,9.87E+01
9.80E-06,7.25E-06,6.74E-07,3.38E-07,9.87E+01
9.90E-06,7.34E-06,6.69E-07,3.37E-07,9.87E+01
1.00E-05,7.34E-06,6.69E-07,3.38E-07,9.87E+01
1.01E-05,7.38E-06,6.69E-07,3.40E-07,9.87E+01
1.02E-05,7.43E-06,6.76E-07,3.37E-07,9.87E+01
1.03E-05,7.55E-06,6.64E-07,3.38E-07,9.87E+01
1.04E-05,7.66E-06,6.76E-07,3.40E-07,9.87E+01
1.05E-05,7.74E-06,6.65E-07,3.38E-07,9.87E+01
1.06E-05,7.88E-06,6.72E-07,3.36E-07,9.87E+01
1.07E-05,7.95E-06,6.66E-07,3.40E-07,9.87E+01
1.08E-05,7.84E-06,6.65E-07,3.38E-07,9.87E+01
1.09E-05,7.98E-06,6.66E-07,3.39E-07,9.87E+01
1.10E-05,8.05E-06,6.63E-07,3.39E-07,9.87E+01
1.11E-05,8.18E-06,6.70E-07,3.40E-07,9.87E+01
1.12E-05,8.12E-06,6.66E-07,3.41E-07,9.87E+01
1.13E-05,8.30E-06,6.74E-07,3.39E-07,9.87E+01
1.14E-05,8.25E-06,6.73E-07,3.39E-07,9.87E+01
1.15E-05,8.37E-06,6.69E-07,3.40E-07,9.87E+01
1.16E-05,8.45E-06,6.73E-07,3.41E-07,9.87E+01
1.17E-05,8.48E-06,6.70E-07,3.41E-07,9.87E+01
1.18E-05,8.63E-06,6.67E-07,3.36E-07,9.87E+01
1.19E-05,8.64E-06,6.71E-07,3.40E-07,9.87E+01
1.20E-05,8.70E-06,6.73E-07,3.39E-07,9.87E+01
1.21E-05,8.87E-06,6.67E-07,3.38E-07,9.87E+01
1.22E-05,8.97E-06,6.63E-07,3.39E-07,9.87E+01
1.23E-05,9.01E-06,6.69E-07,3.41E-07,9.87E+01
1.24E-05,9.07E-06,6.74E-07,3.38E-07,9.87E+01
1.25E-05,9.08E-06,6.70E-07,3.37E-07,9.87E+01
1.26E-05,9.16E-06,6.70E-07,3.40E-07,9.87E+01
1.27E-05,9.33E-06,6.67E-07,3.37E-07,9.87E+01
1.28E-05,9.30E-06,6.69E-07,3.39E-07,9.87E+01
1.29E-05,9.36E-06,6.67E-07,3.36E-07,9.87E+01
1.30E-05,9.61E-06,6.68E-07,3.38E-07,9.87E+01
1.31E-05,9.45E-06,6.80E-07,3.41E-07,9.87E+01
1.32E-05,9.63E-06,6.68E-07,3.39E-07,9.87E+01
1.33E-05,9.76E-06,6.71E-07,3.40E-07,9.87E+01
1.34E-05,9.78E-06,6.66E-07,3.36E-07,9.87E+01
1.35E-05,9.82E-06,6.65E-07,3.38E-07,9.87E+01
1.36E-05,9.87E-06,6.65E-07,3.41E-07,9.87E+01
1.37E-05,1.00E-05,6.75E-07,3.39E-07,9.87E+01
1.38E-05,9.97E-06,6.69E-07,3.40E-07,9.87E+01
1.39E-05,1.01E-05,6.75E-07,3.39E-07,9.87E+01
1.40E-05,1.01E-05,6.74E-07,3.38E-07,9.87E+01
1.41E-05,1.02E-05,6.75E-07,3.40E-07,9.87E+01
1.42E-05,1.04E-05,6.69E-07,3.40E-07,9.87E+01
1.43E-05,1.03E-05,6.67E-07,3.39E-07,9.87E+01
